frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
178,27.0,[242.53510108268665 4.031694865559018 1675.7760699183218 878.8952902842036],[880.0951538085938 320.4809875488281 1241.45849609375 552.3805541992188],0.4376915991306305,ঢাকা মেট্রোগ ১৭-২০৬৪,0.6950550628574337
179,27.0,[252.8015499518749 6.9162746927853505 1681.2645640599712 888.7921521587529],[856.95849609375 332.16796875 1222.3670654296875 564.0771484375],0.42162054777145386,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.605878990879734
180,27.0,[256.09019354629436 6.24333615903646 1681.9045139428094 892.6798105306971],[856.9513549804688 332.152587890625 1222.2059326171875 564.2798461914062],0.42104214429855347,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6593376287305581
181,27.0,[259.03702446054285 5.500442171054942 1682.0703964515944 895.79628477045],[856.9822998046875 332.1400146484375 1222.218017578125 564.2857055664062],0.4208196997642517,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6593376287305581
182,27.0,[235.97545018888945 5.342570717144895 1671.5241970296559 900.3234344441561],[844.97705078125 352.0531311035156 1218.9649658203125 568.0071411132812],0.45671701431274414,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6611453886427836
183,27.0,[222.08774898894842 4.61750343850116 1668.5332206264707 903.3178108853463],[844.6818237304688 351.664306640625 1219.3011474609375 567.9805297851562],0.4632617235183716,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.684358349637404
184,27.0,[208.51828584271504 6.401285353413641 1665.391183571769 911.9477578293344],[835.2108764648438 338.8524169921875 1218.3927001953125 578.0872802734375],0.4774995446205139,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6708794174723149
185,27.0,[208.08865530817627 5.9217315637772 1668.5854441332126 916.3784468725282],[834.992431640625 339.31805419921875 1217.03662109375 578.0436401367188],0.4858698546886444,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6450258795136473
186,27.0,[172.60574569344715 7.818847241612161 1655.377858116632 924.4984307184625],[811.38134765625 363.05780029296875 1200.33837890625 586.3318481445312],0.6168640851974487,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6670643853224234
187,27.0,[155.35967047343138 6.959499812242939 1654.2842458407454 927.3227636094938],[811.3786010742188 363.2145080566406 1200.18212890625 586.3023071289062],0.6160294413566589,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6721768458556485
188,27.0,[147.73824633327638 6.275392274894216 1657.422416173088 929.5009354881404],[812.773681640625 364.2616882324219 1199.680419921875 585.8040161132812],0.6071516871452332,ঢাকা মেট্রো-গ ১৭-২০৬৪,0.6485324757163586
